Code,Area_Name,London_Area,Population_Estimate,Household_Estimate,Inland_Area,Population_Density,Mean_Age,Population_0_15,Working_Age_Population,Population_65,Domestic_Migration,International_Migration,Net_Immigration,Born_Abroad,Largest_Mig_Pop,Second_Largest_Mig_Pop,Third_Largest_Mig_Pop,BAME_Population,English_Not_First_Lang,Overseas_National,New_Migrant_Rate,Employment_Rate,Male_Employment,Female_Employment,Unemployment,Youth_Unemployment,Youth_NEET,Working_Age_Benefits,Working_Age_Disability,No_Qualifications,Degree,GAP,Male_GAP,Fem_GAP,Median_Income,Volunteer,Jobs,Employed_Public_Sector,Job_Density,Active_Businesses,Business_Survival,Crime_Per_Thousand,Fires_Per_Thousand,Ambulance_Per_Hundred,House_Price,Council_Tax,Net_New_Homes,House_Owned,House_Bought,House_Council,House_Landlord,Greenspace,Carbon_Emissions,Recycling,Cars,Cars_Per_Household,Cycle,Public_Trans_Access,High_Grades,Child_Care,Pupil_English_Not_First,Male_Life_Expectancy,Female_Life_Expectancy,Teenage_Conception,Life_Satisfaction,Worthwhileness,Happiness,Anxiety,Childhood_Obesity,Diabetes,Preventable_Deaths,Council_Party,Tories,Labour,Lib_Dems,Turnout
E09000021,Kingston upon Thames,Outer London,175400,69848.52319,3726.1176,47.07312512,37.1,19.6,67.2,13.2,-226,2547,1207,29.8,2.192927652,1.774334625,1.427589654,30.39860529,16.42420051,3205,27.48925732,74.4,80.9,67.8,4.5,2.015342608,3.9,4.631575336,15.3,5.9,53.7,37979,41288,33400,43940,42.70229617,83700,17.10344828,0.81,8970,76.8,58.45569059,1.770278271,11.07400829,410000,1683.24,240,27.73062254,38.86244372,10.70885786,22.41848995,36.4,678.4395768,45.7,70421,1.106569871,20.44806902,2.928251306,68.6,30,39.28936605,82,84.6,15.3,7.34,7.68,7.41,3.29,16.90561529,4.855511215,140.5849112,Cons,58.33333333,4.166666667,37.5,43.09528465
E09000022,Lambeth,Inner London,328900,144399.6327,2681.0035,122.677945,34.5,17.6,74.6,7.8,-1572,4598,3130,32.2,3.214929096,2.306935985,2.287799502,41.50655172,20.25441258,11259,46.52517789,78.5,82.3,74.6,5.9,4.073601951,2.2,8.760402979,16.1,6.2,65,33441,35995,30173,38490,31.66478385,184000,23.14381271,0.76,17280,63.8,104.6231885,2.47406476,13.33480038,450000,1257.35,1350,10.88675175,24.91315318,29.79266464,34.40743043,17.3,1091.475573,28.3,66791,0.513709746,15.96518584,5.047105283,57.1,73,39.05361997,78.9,83.3,33.8,7.14,7.46,7.2,3.53,22.95275591,4.993388497,204.9763642,Lab,4.761904762,93.65079365,0,34.50036731
E09000023,Lewisham,Inner London,303400,131075.7397,3514.9294,86.31752319,35,20.6,70.1,9.3,-1536,3683,3239,34.9,3.514870326,3.463037135,1.575656524,47.43720924,16.48046184,7978,38.30291857,75.9,79.6,72.4,5.7,5.970924195,3.5,9.8277857,16.5,5.8,53.3,33157,NA,31641,35900,27.8685493,90000,24.7734139,0.4,10405,73.4,76.97952338,2.172865014,11.9934573,352000,1378.66,1540,16.49464832,31.71788991,28.1383792,23.64908257,22.5,825.0600761,17.1,76507,0.659026109,16.10490452,4.089886608,56.3,69,40.87748293,79,83.4,31.3,7.18,7.63,7.26,3.43,23.58458961,6.057014711,190.8398302,Lab,0,98.14814815,0,37.20379026
E09000024,Merton,Outer London,208100,84201.16336,3762.4738,55.30935524,36.7,20.6,67.2,12.2,-2060,1077,2029,37.4,3.452800048,3.168363438,2.834350728,36.73976725,21.0671916,6684,48.5981852,78.8,86.3,71.4,4.6,3.856041131,4.3,5.736679851,13.5,4.7,58,33989,NA,30722,41960,21.99151326,96800,12.23470662,0.71,12070,78.4,59.74717429,1.84772066,10.36129971,415000,1382.45,510,21.74414272,32.73557222,16.22804975,29.29223532,34.6,690.7108292,37.5,72777,0.924070241,14.4277544,3.40558825,67.8,35,34.19093229,80.4,84.2,19.7,7.28,7.54,7.13,3.56,19.21508665,5.57344074,161.8031509,Lab,33.33333333,60,1.666666667,41.29226883
E09000025,Newham,Inner London,342900,119172.1957,3619.839,94.72796995,32.1,22.7,70.2,7,-7273,11182,4616,54.1,8.704023586,6.800677957,5.345082861,73.05688812,41.38633907,25604,109.5550449,66.2,75,56.1,9.1,4.116476959,4.3,8.018518756,12.7,11,43.4,27942,30141,24006,28780,8.417459639,111100,23.09299896,0.48,11055,70,90.81881801,2.518382353,12.23866422,305000,1240.54,1440,9.379501911,16.72662026,31.41999431,42.47388353,23.9,1261.004667,17.2,61092,0.601778977,5.571952981,3.905776182,55.7,42,58.78957738,78.5,83,22.5,7.12,7.43,7.18,3.37,27.5862069,7.646234887,193.3989173,Lab,0,100,0,40.50899202
E09000026,Redbridge,Outer London,304200,110707.8811,5641.8997,53.91800921,35.8,22.8,65,12.2,-2912,3685,2960,40.2,7.557084991,5.34322687,2.598128831,62.7008128,24.57852072,10534,54.57211093,68.3,79.1,57.6,7.9,4.128677103,3.3,5.957654031,17.1,10.2,44.7,33483,39272,29204,36860,25.17861958,90700,22.93577982,0.47,14595,74.7,69.6876561,1.911915329,11.29634688,345000,1415.22,50,29.51437368,34.88973615,11.31367916,24.06651631,40.6,874.0157394,28.7,106339,1.07299329,11.75461191,2.982147489,68.7,28,66.52686509,80.9,84.6,18.5,7.32,7.57,7.3,3.2,23.29372755,7.910158353,141.8845234,Lab,39.68253968,55.55555556,4.761904762,39.70207162
E09000027,Richmond upon Thames,Outer London,197300,85107.97681,5740.6785,34.36875972,38.8,20.7,64.5,14.8,-1192,913,1391,23.7,1.762126317,1.428418632,1.401679234,15.67479688,10.44128286,2580,20.5541658,79.6,82.1,77.2,3.8,2.409438352,4.3,4.389668743,10.8,3.2,69.5,42076,NA,38499,53470,48.6835394,95900,11.2244898,0.81,14185,78.8,56.347817,1.542031975,9.68024755,575000,1582.39,510,30.93675817,38.4442145,8.679773571,21.93925376,50.8,790.2085146,41.2,84918,1.063668817,33.13204532,3.057463697,70.5,26,53.46683826,82.4,86,12.6,7.54,7.75,7.33,3.2,12.57325519,3.690023655,137.4166958,Cons,72.22222222,0,27.77777778,46.1303521
E09000028,Southwark,Inner London,314300,134254.3706,2886.2033,108.8973878,34.4,18.6,73.5,7.9,-2438,5497,3304,38.4,4.713423962,1.95190143,1.697984272,45.7155951,19.59482781,12157,53.54350823,74.2,79.8,68.6,7.7,4.741971352,2,8.848310277,16.8,7.6,56.8,33864,36712,32696,37100,26.4130463,285900,18.7673772,1.27,17120,73.4,100.6352525,2.974579069,13.63453285,475000,1206.38,1380,10.12423815,26.28867808,37.2324197,26.35466407,24.9,1169.14061,34.6,60438,0.501885038,20.05396716,4.874749533,61.2,75,29.80167197,78.9,83.9,27.4,7.47,7.67,7.31,3.42,27.58267985,5.452555346,207.4920795,Lab,3.174603175,76.19047619,20.63492063,36.17158228
E09000029,Sutton,Outer London,202600,85243.12548,4384.6981,46.20614587,38.9,20.7,64.3,15.1,161,568,1269,23.1,1.780736907,1.680813691,1.230107391,25.04674129,10.02138392,2070,16.09004205,78.2,86.2,70.5,5.5,2.276089678,3.2,5.137931303,14.4,4.3,42.5,32697,36636,28540,39940,23.50847856,78600,18.86524823,0.62,8710,76,55.85614096,2.043281329,11.27025667,320000,1486.03,390,25.70499181,41.77122313,11.60515567,20.5321985,32,665.5970204,37.6,91266,1.167472561,9.429391306,2.854085656,67.4,50,34.26759738,80.9,83.4,17.3,7.46,7.7,7.26,3.22,18.38039425,5.856019561,163.1713522,Lib Dem,16.66666667,0,83.33333333,42.6465256
E09000030,Tower Hamlets,Inner London,304000,123719.8674,1978.1276,153.6806827,31.4,20.1,73.9,6,-2798,10532,3509,38.6,15.30012279,1.530523896,1.386090297,54.01622655,34.19593346,17580,80.53728171,70.4,80.3,59.6,9.2,3.190143556,3.4,8.484359825,15.4,10,45.7,36429,38461,32657,34930,20.6398546,280100,16.1179173,1.35,18390,69.7,99.87540767,3.483065954,11.83707665,415000,1196.85,2390,7.04031864,19.79513373,41.63985211,31.52469551,15.2,1703.467994,28.1,43589,0.43047888,22.43989111,5.022219881,59.2,47,51.06674944,78.1,82.5,18.1,7.22,7.39,7.2,3.26,27.10378682,6.64996467,238.7155231,Tower Hamlets First,11.11111111,48.88888889,0,47.1976677
