SOUID,    DATE,   TG, Q_TG
107054,19610121,   68,    0
107054,19610122,   50,    0
107054,19610123,   41,    0
107054,19610124,   31,    0
107054,19610125,   11,    0
107054,19610126,   20,    0
107054,19610127,   24,    0
107054,19610128,   59,    0
107054,19610129,   80,    0
107054,19610130,   80,    0
107054,19610131,   79,    0
107054,19610201,   50,    0
107054,19610202,   56,    0
107054,19610203,   58,    0
107054,19610204,   48,    0
107054,19610205,   70,    0
107054,19610206,   78,    0
107054,19610207,   78,    0
107054,19610208,   84,    0
107054,19610209,  104,    0
107054,19610210,   78,    0
107054,19610211,   96,    0
107054,19610212,   94,    0
107054,19610213,   93,    0
107054,19610214,   97,    0
107054,19610215,   61,    0
107054,19610216,   76,    0
107054,19610217,   70,    0
107054,19610218,   87,    0
107054,19610219,   82,    0
107054,19610220,   88,    0
107054,19610221,   62,    0
107054,19610222,   62,    0
107054,19610223,   66,    0
107054,19610224,   77,    0
107054,19610225,   82,    0
107054,19610226,  102,    0
107054,19610227,   68,    0
107054,19610228,   65,    0
107054,19610301,   92,    0
107054,19610302,   92,    0
107054,19610303,   66,    0
107054,19610304,   72,    0
107054,19610305,   84,    0
107054,19610306,   88,    0
107054,19610307,   82,    0
107054,19610308,   86,    0
107054,19610309,   70,    0
107054,19610310,   86,    0
107054,19610311,  102,    0
107054,19610312,  106,    0
107054,19610313,  117,    0
107054,19610314,  132,    0
107054,19610315,  127,    0
107054,19610316,  119,    0
107054,19610317,  118,    0
107054,19610318,   57,    0
107054,19610319,   42,    0
107054,19610320,   36,    0
107054,19610321,   61,    0
107054,19610322,   38,    0
107054,19610323,   84,    0
107054,19610324,   78,    0
107054,19610325,   74,    0
107054,19610326,   82,    0
107054,19610327,   65,    0
107054,19610328,   63,    0
107054,19610329,   80,    0
107054,19610330,  114,    0
107054,19610331,   88,    0
107054,19610401,  112,    0
107054,19610402,  112,    0
107054,19610403,   78,    0
107054,19610404,   85,    0
107054,19610405,  112,    0
107054,19610406,  128,    0
107054,19610407,  112,    0
107054,19610408,   84,    0
107054,19610409,  102,    0
107054,19610410,  108,    0
107054,19610411,  118,    0
107054,19610412,  110,    0
107054,19610413,  131,    0
107054,19610414,  122,    0
107054,19610415,  124,    0
107054,19610416,  104,    0
107054,19610417,  126,    0
107054,19610418,  116,    0
107054,19610419,  123,    0
107054,19610420,  111,    0
107054,19610421,  137,    0
107054,19610422,  106,    0
107054,19610423,  108,    0
107054,19610424,  102,    0
107054,19610425,  107,    0
107054,19610426,  116,    0
107054,19610427,  110,    0
107054,19610428,   94,    0
107054,19610429,  110,    0
107054,19610430,  108,    0
107054,19610501,  110,    0
107054,19610502,  120,    0
107054,19610503,  117,    0
107054,19610504,  130,    0
107054,19610505,  137,    0
107054,19610506,  101,    0
107054,19610507,  125,    0
107054,19610508,  112,    0
107054,19610509,  116,    0
107054,19610510,  120,    0
107054,19610511,  120,    0
107054,19610512,  162,    0
107054,19610513,  160,    0
107054,19610514,  138,    0
107054,19610515,  110,    0
107054,19610516,  128,    0
107054,19610517,  118,    0
107054,19610518,  122,    0
107054,19610519,  112,    0
107054,19610520,  120,    0
107054,19610521,   96,    0
107054,19610522,  114,    0
107054,19610523,  135,    0
107054,19610524,  153,    0
107054,19610525,  152,    0
107054,19610526,  115,    0
